Fecha,Planta 3M5 - Analizada x Vía Húmeda - Metalización [%],Planta 3M5 - Analizada x Vía Húmeda - Fierro Total [%],Planta 3M5 - Analizada x Leco - Metalización [%],Planta 3M5 - Analizada x Leco - Carbón [%],Planta 3M5 - Analizada x Leco - Azufre [%],Planta 3M5 - Analizada x Leco - Oxígeno [%],"Planta 3M5 - Granulometría - +1/8"" [%]","Planta 3M5 - Granulometría - - 1/8"" [%]","Planta 3M5 - Granulometría - Finos - 1/4"" [%]",Planta 4M - Analizada x Vía Húmeda - Metalización [%],Planta 4M - Analizada x Vía Húmeda - Fierro Total [%],Planta 4M - Analizada x Leco - Metalización [%],Planta 4M - Analizada x Leco - Carbón [%],Planta 4M - Analizada x Leco - Azufre [%],Planta 4M - Analizada x Leco - Oxígeno [%],"Planta 4M - Granulometría - +1/8"" [%]","Planta 4M - Granulometría - -1/8"" [%]","Planta 4M - Granulometría - Finos - 1/4"" [%]"
22/02/2024 08:00:00,93.652,84.783,94.061,3.41,0.0094,1.144,10.906,1.846,12.752,93.955,85.43,94.553,3.524,0.0136,1.035,3.393,1.597,4.99
22/02/2024 06:00:00,,,93.506,3.3756,0.0104,1.267,8.959,1.456,10.415,,,94.386,3.5146,0.0137,1.072,7.784,4.266,12.05
22/02/2024 04:00:00,93.233,84.508,93.993,3.2099,0.0071,1.159,7.136,2.279,9.415,94.732,85.579,94.878,3.4463,0.0112,0.963,7.064,3.091,10.155
22/02/2024 02:00:00,,,94.228,3.3175,0.0076,1.107,8.383,1.697,10.08,,,95.215,3.7178,0.0137,0.8884,9.342,6.688,16.03
22/02/2024 00:00:00,93.262,84.946,94.039,3.1936,0.0075,1.149,7.155,1.192,8.347,95.124,85.269,95.019,3.6797,0.0124,0.9318,6.2,2.667,8.867
21/02/2024 22:00:00,,,93.808,3.1657,0.0075,1.2,6.692,0.526,7.218,,,94.513,3.429,0.014,1.044,8.886,4.005,12.891
21/02/2024 20:00:00,92.427,84.796,92.82,3.2968,0.0105,1.419,11.817,5.065,16.882,,,93.619,3.7217,0.0152,1.242,4.371,0.426,4.797
21/02/2024 18:00:00,,,94.404,3.299,0.0132,1.068,12.364,0.501,12.865,,,94.689,3.8451,0.015,1.005,1.675,0.773,2.448
21/02/2024 16:00:00,94.279,85.25,94.436,3.5264,0.0088,1.061,9.831,2.341,12.172,94.222,84.711,94.54,3.8039,0.0121,1.038,7.398,1.148,8.546
21/02/2024 14:00:00,,,94.332,3.7455,0.0133,1.084,7.194,1.839,9.033,,,95.484,3.5931,0.0158,0.8287,8.884,1.185,10.069
21/02/2024 12:00:00,94.73,84.897,94.246,3.77,0.0049,1.103,9.421,3.19,12.611,95.518,85.528,95.9,3.47,0.0131,0.7367,8.004,1.412,9.416
21/02/2024 10:00:00,,,94.215,3.8575,0.0084,1.11,12.238,1.103,13.341,,,94.708,3.203,0.0141,1.0006,7.97,1.429,9.399
21/02/2024 08:00:00,93.337,84.858,93.528,3.807,0.0079,1.262,10.008,2.242,12.25,94.552,85.638,95.055,3.318,0.0121,0.9238,7.301,1.79,9.091
21/02/2024 06:00:00,,,94.291,3.67,0.0083,1.093,8.662,2.23,10.892,,,96.481,3.25,0.0118,0.6079,5.387,2.731,8.118
21/02/2024 04:00:00,94.839,85.242,95.101,3.75,0.0089,0.9137,7.208,2.007,9.215,96.052,85.783,96.41,3.42,0.0125,0.6237,7.384,1.846,9.23
21/02/2024 02:00:00,,,95.14,3.76,0.0079,0.905,2.142,0.789,2.931,,,96.199,3.48,0.0121,0.6704,5.912,1.121,7.033
21/02/2024 00:00:00,94.329,84.994,94.364,4,0.008,1.077,8.803,1.673,10.476,95.55,85.505,95.596,3.57,0.0112,0.8041,4.368,2.644,7.012
20/02/2024 22:00:00,,,94.549,4.04,0.0054,1.036,7.917,2.292,10.209,,,95.669,4.18,0.009,0.7878,8.029,2.92,10.949
20/02/2024 20:00:00,94.323,84.835,94.558,3.8702,0.008,1.034,13.706,6.684,20.39,95.795,85.216,95.566,4.2334,0.0111,0.8107,2.526,0.459,2.985
20/02/2024 18:00:00,,,94.927,3.6502,0.0084,0.9522,4.884,0.4,5.284,,,95.567,4.178,0.0102,0.8105,5.896,1.533,7.429
20/02/2024 16:00:00,94.196,85.071,94.648,3.6258,0.0134,1.014,14.614,5.515,20.129,95.862,84.966,95.499,4.3182,0.0134,0.8254,3.333,0.933,4.266
